시간,장소,인물,대사,화면 연출,배경음악,표정,비고
공통,객실,나레이션,눈을 뜨자 평소와는 다른 듯한 느낌이 든다.,,,,bgm 없이 진행
공통,객실,솔,…,,,,
공통,객실,나레이션,"창 밖을 보니,",,,,
공통,객실,솔,멈췄다.,,,놀람,
공통,객실,나레이션,열차는 멈춰 있었다.,,,,
공통,객실,솔,?,,,당황,
공통,객실,솔,나가서 확인해 봐야겠어.,,,,
공통,객실복도,솔,…,,,,"객실복도, 정원, 카페, 빵집, 의무실을 모두 확인한 후 "
공통,정원,솔,…,,,,
공통,재즈바,솔,…,,,,
공통,빵집,솔,…,,,,
공통,의무실,솔,…,,,,
공통,객실복도,솔,뭐지?,,,당황,
공통,객실복도,솔,다들 어디 가신 거지?,,,당황,
공통,객실복도,나레이션,열차 밖으로 나가보자.,,,,
공통,기차역,나레이션,"솔이 열차 밖으로 나오자,",,,,
공통,기차역,솔,어?,,,놀람,
공통,기차역,나레이션,눈 앞의 장소가 익숙한 장소임을 알아챈다.,,,,
공통,기차역,솔,여기는…,,,당황,
공통,기차역,솔,내가 처음 기차에 탔던…그 역이잖아?,,,놀람,
공통,기차역,나레이션,솔이 루나 익스프레스를 처음 마주한 바로 그 역이었다.,,,,
공통,기차역,나레이션,역사는 변한 것 없이 아름답고 신비로운 모습으로 솔을 바라봤다.,,,,
공통,기차역,솔,감회가 새롭네…,,,당황,
공통,기차역,나레이션,솔은 자신의 카페를 뒤로하고 이곳에 찾아왔던 날을 떠올리며 생각에 잠긴다.,,,,
공통,기차역,???,익숙한 기분이 드나요?,,,,
공통,기차역,나레이션,솔은 등 뒤에서 갑작스레 들려오는 목소리에 뒤를 돈다.,,,,
공통,기차역,나레이션,그곳에는,,,,
공통,기차역,나루,"안녕하세요, 솔.",,,웃음,
공통,기차역,나레이션,나루가 있다.,,,,
공통,기차역,솔,…나루 님?,,,놀람,
공통,기차역,솔,다른 분들은 어디 가시고 혼자 계세요?,,,당황,
공통,기차역,나루,"음, 직원들도 쉴 땐 쉬어야 하니까요.",,,웃음,
공통,기차역,나루,지금은 다른 곳에서 각자 쉬고 있어요.,,,웃음,
공통,기차역,솔,쉬다니요?,,,놀람,
공통,기차역,나루,"음…하하, 어디서부터 설명을 해야 할지,",,,웃음,
공통,기차역,나루,일단은 이것부터 할까요.,,,,
공통,기차역,솔,?,,,놀람,
공통,기차역,나루,제대로 소개하죠.,,,,
공통,기차역,나루,사실 제 이름은 나루가 아니라,,,,
공통,기차역,루나,루나.,,,,
공통,기차역,루나,이 기차의 주인입니다.,,,,
공통,기차역,솔,…,,,당황,
공통,기차역,솔,…네???,,,놀람,
공통,기차역,루나,처음부터 말씀드리지 못해 미안합니다.,,,,
공통,기차역,루나,뭐… 따로 이유가 있어서 숨긴 건 아니고,,,,
공통,기차역,루나,장난치려다가 말할 타이밍을 놓쳐 버렸군요.,,,웃음,
공통,기차역,나레이션,솔은 너무 놀란 나머지 할 말을 잃는다.,,,,
공통,기차역,루나,"하하, 놀랐다면 다시 한 번 미안합니다.",,,웃음,
공통,기차역,루나,아무튼 저는 솔에게 이야기를 하기 위해 여기 남아 기다리고 있었어요.,,,웃음,
공통,기차역,솔,이야기라는 건…?,,,당황,
공통,기차역,루나,음…바이올렛이 첫 날 까먹은 기차에 대한 추가 설명?,,,웃음,
공통,기차역,루나,그리고 그 외의 것들에 대해서요.,,,,
공통,기차역,솔,…,,,,
공통,기차역,루나,우선 이 기차가 여기에 멈춰서 있는 이유는,,,,
공통,기차역,루나,"루나 익스프레스가 같은 노선을 반복하는, 쉽게 말해 순환 열차이기 때문이죠.",,,,
공통,기차역,루나,여기 이 곳이 기차의 출발점이자 종착역이에요.,,,,
공통,기차역,솔,"…그럼, 이번 운행은 이미 끝난 건가요?",,,슬픔,
공통,기차역,루나,"네, 그렇죠.",,,,
공통,기차역,솔,…,,,슬픔,
공통,기차역,나레이션,아쉽다.,,,,
공통,기차역,나레이션,솔은 직감적으로 깨달았다.,,,,
공통,기차역,나레이션,자신의 인생에서 처음으로 이어지던 행복한 시간이,,,,
공통,기차역,나레이션,방금 막,,,,
공통,기차역,나레이션,끝났다는 것을.,,,,
공통,기차역,솔,…,,,슬픔,
공통,기차역,루나,"음, 지금까지 저는 ",,,,
공통,기차역,루나,솔을 곁에서 쭉 지켜봤어요.,,,,
3/3 엔딩,기차역,루나,아마 솔이 생각하는 것보다 훨씬 오래 전부터 말이죠.,,해피엔딩 bgm,웃음,
3/3 엔딩,기차역,솔,?,,,당황,
3/3 엔딩,기차역,루나,"하하, 이 얘기는 넣어두고.",,,웃음,
3/3 엔딩,기차역,루나,"아무튼, 그래서 저는 알아요.",,,,
3/3 엔딩,기차역,루나,솔이 얼마나 노력해 왔는지.,,,,
3/3 엔딩,기차역,루나,솔을 거쳐 가는 모든 이들을 즐겁게 해주기 위해 애썼죠.,,,,
3/3 엔딩,기차역,솔,…,,,,
3/3 엔딩,기차역,루나,그 모든 사람들이 지금,,,,
3/3 엔딩,기차역,루나,환하게 웃고 있군요.,,,웃음,
3/3 엔딩,기차역,루나,…솔은 잘 모르고 있죠.,,,,
3/3 엔딩,기차역,루나,솔이 별생각 없이 한 작은 행동들이,,,,
3/3 엔딩,기차역,루나,마치 봄바람처럼 불어,,,웃음,
3/3 엔딩,기차역,루나,한 사람 한 사람의 인생을 바꾸고 있어요.,,,웃음,
3/3 엔딩,기차역,솔,…,,,웃음,
3/3 엔딩,기차역,루나,멋져요.,,,웃음,
3/3 엔딩,기차역,루나,기대했던 것 이상으로 잘해주었어요.,,,,
3/3 엔딩,기차역,루나,"마지막으로,",,,,
3/3 엔딩,기차역,루나,…,,,,
3/3 엔딩,기차역,루나,기차의 주인으로서 다시 한번 말씀드릴게요.,,,,
3/3 엔딩,기차역,루나,우리 기차를 위해 노력해줘서 고마워요.,,,웃음,
3/3 엔딩,기차역,루나,"그리고 한 가지 더,",,,,
3/3 엔딩,기차역,솔,?,,,,
3/3 엔딩,기차역,루나,앞으로 이 기차를 솔에게 맡기고 싶어요.,,,웃음,
3/3 엔딩,기차역,루나,그래도 될까요?,,,웃음,
3/3 엔딩,기차역,솔,…네?,,,놀람,
3/3 엔딩,기차역,루나,말 그대로예요.,,,웃음,
3/3 엔딩,기차역,루나,나를 대신해서 이 기차의 주인이 되어 주세요.,,,웃음,
3/3 엔딩,기차역,루나,이 세상 곳곳에는 아직,,,,
3/3 엔딩,기차역,루나,따스한 바람을 필요로 하는 사람들이 많거든요.,,,,
3/3 엔딩,기차역,루나,"다음 운행을, 또 그 다음 운행을",,,,
3/3 엔딩,기차역,루나,솔이 이끌어주면 좋겠어요.,,,,
3/3 엔딩,기차역,루나,더 많은 이들이 웃을 수 있도록.,,,웃음,
3/3 엔딩,기차역,솔,…,,,,
3/3 엔딩,기차역,나레이션,사람들을 웃게 만드는 것.,,,,
3/3 엔딩,기차역,나레이션,사람들을 행복하게 만드는 것.,,,,
3/3 엔딩,기차역,나레이션,솔이 평생토록 바라온 일이었다.,,,,
3/3 엔딩,기차역,루나,잘할 수 있죠?,,,웃음,
3/3 엔딩,기차역,솔,…,,,,
3/3 엔딩,기차역,솔,"하하,",,,웃음,
3/3 엔딩,기차역,솔,그럼요.,,,웃음,
3/3 엔딩,기차역,솔,저를 지켜봐오셨다면서요,,,,
3/3 엔딩,기차역,솔,제가 생각하는 것보다 훨씬 오래 전부터.,,,웃음,
3/3 엔딩,기차역,루나,하하하.,,,웃음,
3/3 엔딩,기차역,루나,네.,,,,
3/3 엔딩,기차역,루나,그래서 저는 당신을 믿어요.,,,,
3/3 엔딩,3엔딩,,(일러스트),,야옹(고양이 울음소리) 효과음,,열쇠일러스트
3/3 엔딩,기차역,솔,"…그럼 이제 루나 님은,",,,,
3/3 엔딩,기차역,루나,솔.,,,,
3/3 엔딩,기차역,루나,다들 안에서 기다리고 있어요.,,,,
3/3 엔딩,기차역,루나,솔이 기차의 주인이 된 것을 기념해서 저희 다같이 축하 파티를 할까요.,,,웃음,
3/3 엔딩,기차역,나레이션,루나는 밝게 웃으며 기차 안으로 뛰어들어간다.,,,,
3/3 엔딩,기차역,루나,어서 와요!,,,웃음,
3/3 엔딩,기차역,솔,"앗,",,,놀람,
3/3 엔딩,기차역,솔,같이 가요!,,,웃음,
3/3 엔딩,기차역,나레이션,솔도 활짝 웃으며 그 뒤를 바삐 따라간다.,,,,
3/3 엔딩,3엔딩,,(일러스트),3/3 엔딩 일러스트,,,3엔딩일러스트
3/3 엔딩,암전,,암전,,,,3-4초 유지
3/3 엔딩,검은화면,루나,"아, 맞다.",검은 화면,,,
3/3 엔딩,기차역,루나,솔.,,,,
3/3 엔딩,기차역,솔,?,,,,
3/3 엔딩,기차역,루나,기차의 주인은 차원 문을 열 수 있어야 해요.,,차원 문 열리는 소리,웃음,
3/3 엔딩,기차역,루나,기차가 통과할 만큼 크게요.,,,웃음,
3/3 엔딩,기차역,솔,…네에에??,,,놀람,
3/3 엔딩,기차역,솔,…그럼 지금까지 그걸 나루 님이 해오셨던 건가요?,,,당황,
3/3 엔딩,기차역,솔,그래서 역이 바뀔 때쯤이면 얼굴 보기가 힘들었군요…,,,,
3/3 엔딩,기차역,루나,…은근 체력 소모가 있어서요.,,,당황,
3/3 엔딩,기차역,솔,그렇군요…그치만 전,,,,
3/3 엔딩,기차역,솔,차원 문 같은 거 열 줄 모르는데요…,,,당황,
3/3 엔딩,기차역,루나,"하하, 걱정 말아요.",,,웃음,
3/3 엔딩,기차역,루나,제가 곁에서 하나 하나 알려드릴테니까요.,,야옹(고양이 울음소리) 효과음,웃음,
3/3 엔딩,기차역,,3/3엔딩 끝,,,,
3/2 엔딩,기차역,루나,그래서 잘 알아요.,,일반엔딩 bgm,,
3/2 엔딩,기차역,루나,솔이 얼마나 노력했는지.,,,,
3/2 엔딩,기차역,루나,기차에 타는 모든 승객들을 즐겁게 해주기 위해 애썼죠.,,,,
3/2 엔딩,기차역,솔,…,,,,
3/2 엔딩,기차역,루나,솔의 노력으로,,,,
3/2 엔딩,기차역,루나,이 기차를 거쳐간 많은 이들이 지금쯤 웃고 있겠군요.,,,,
3/2 엔딩,기차역,루나,제가 적합한 사람을 잘 고용한 것 같죠?,,,웃음,
3/2 엔딩,기차역,솔,"나루, 아니 루나 님이 저를 고용하신 거였어요?",,,놀람,
3/2 엔딩,기차역,루나,"네, 그럼요.",,,웃음,
3/2 엔딩,기차역,루나,"기차의 바리스타라는 중요한 역할을 맡을 사람인데,",,,웃음,
3/2 엔딩,기차역,루나,제가 직접 초대하는 게 예의죠.,,,웃음,
3/2 엔딩,기차역,솔,…,,,,
3/2 엔딩,기차역,솔,그런데 왜 하필 저를…?,,,당황,
3/2 엔딩,기차역,루나,"음,",,,,
3/2 엔딩,기차역,루나,하필 솔이었던 이유는…,,,,
3/2 엔딩,기차역,루나,…,,,,
3/2 엔딩,기차역,루나,글쎄요?,,,웃음,
3/2 엔딩,기차역,루나,고양이의 직감?,,,웃음,
3/2 엔딩,기차역,솔,…,,,당황,
3/2 엔딩,기차역,루나,하핫.,,,웃음,
3/2 엔딩,기차역,루나,"아무튼 솔, 다시 한 번 기차의 주인으로서 말씀드릴게요.",,,,
3/2 엔딩,기차역,루나,우리 기차를 위해 그동안 노력해줘서 고마워요.,,,,
3/2 엔딩,기차역,루나,기차에서 보낸 모든 시간이 당신의 앞날에 빛을 밝히길.,,,,
3/2 엔딩,기차역,루나,진심으로 빌어요.,,,,
3/2 엔딩,기차역,루나,"고마워요, 솔.",,,웃음,
3/2 엔딩,기차역,나레이션,감사를 전한 루나는 손을 휘저어 차원 문을 연다.,,차원 문 열리는 소리,,
3/2 엔딩,기차역,루나,"그럼, 안녕히.",,,,
3/2 엔딩,기차역,나레이션,비밀스러운 흰 고양이는 달콤한 향을 풍기는 차원 문 너머로 사라진다. ,,,,
3/2 엔딩,기차역,솔,…사라졌어.,,,놀람,
3/2 엔딩,기차역,나레이션,솔은 차원 문이 있던 자리를 뚫어져라 쳐다보다 기차 안 카페로 다시 걸음을 옮긴다.,,,,
3/2 엔딩,2엔딩,,(일러스트),3/2 엔딩 일러스트,,,3/2 엔딩 일러스트
3/2 엔딩,2엔딩,솔,…,3/2 엔딩 일러스트,,,
3/2 엔딩,2엔딩,나레이션,여기에 있는 동안 참 많은 일이 있었다. ,3/2 엔딩 일러스트,,,
3/2 엔딩,2엔딩,나레이션,많은 사람들이 여기를 거쳐 갔다.,3/2 엔딩 일러스트,,,
3/2 엔딩,2엔딩,나레이션,모든 나날이 행복하지만은 않았다.,3/2 엔딩 일러스트,,,
3/2 엔딩,2엔딩,나레이션,분명 힘에 겨운 날도 많았다.,3/2 엔딩 일러스트,,,
3/2 엔딩,2엔딩,나레이션,"그러나,",3/2 엔딩 일러스트,,,
3/2 엔딩,2엔딩,솔,하하…,3/2 엔딩 일러스트,,웃음,
3/2 엔딩,2엔딩,나레이션,훗날 이곳을 떠올리면 웃음만 짓게 되리라.,3/2 엔딩 일러스트,,,
3/2 엔딩,2엔딩,나레이션,솔은 그렇게 믿었다.,3/2 엔딩 일러스트,,,
3/2 엔딩,검은화면,,3/2엔딩 끝,,,,
"3/1,0 엔딩",기차역,루나,그래서 알아요.,,배드엔딩 bgm,,
"3/1,0 엔딩",기차역,루나,솔이 얼마나 노력했는지.,,,,
"3/1,0 엔딩",기차역,루나,기차에 타는 모든 승객들을 즐겁게 해주기 위해 노력했잖아요.,,,,
"3/1,0 엔딩",기차역,루나,맞죠?,,,,
"3/1,0 엔딩",기차역,솔,…네.,,,슬픔,
"3/1,0 엔딩",기차역,루나,…,,,,
"3/1,0 엔딩",기차역,루나,그렇지만 쉽지만은 않았을 거예요.,,,,
"3/1,0 엔딩",기차역,솔,…,,,슬픔,
"3/1,0 엔딩",기차역,루나,원래 사람의 마음이라는 건…,,,,
"3/1,0 엔딩",기차역,루나,연약하고 위태롭죠.,,,,
"3/1,0 엔딩",기차역,루나,아주 작은 행동 하나가 파문처럼 일파만파 퍼져나가,,,,
"3/1,0 엔딩",기차역,루나,한 사람의 앞날을 바꾸는 쓰나미가 되기도 해요.,,,,
"3/1,0 엔딩",기차역,솔,…,,,슬픔,
"3/1,0 엔딩",기차역,루나,아쉬운가요?,,,,
"3/1,0 엔딩",기차역,나레이션,솔은 쉬이 대답하지 못한다.,,,,
"3/1,0 엔딩",기차역,나레이션,아쉽다.,,,,
"3/1,0 엔딩",기차역,나레이션,과거의 선택이 후회스럽게 남기도 한다.,,,,
"3/1,0 엔딩",기차역,루나,…그래도 수고 많았어요.,,,웃음,
"3/1,0 엔딩",기차역,루나,우리 기차를 위해 그동안 노력해줘서 고마워요.,,,웃음,
"3/1,0 엔딩",기차역,루나,…,,,,
"3/1,0 엔딩",기차역,루나,"자,",,,,
"3/1,0 엔딩",기차역,루나,이제 저도 가봐야 할 시간이네요.,,,,
"3/1,0 엔딩",기차역,루나,우리는 다음에,,,,
"3/1,0 엔딩",기차역,루나,"또 연이 닿는다면 다시 만나요, 솔.",,,웃음,
"3/1,0 엔딩",기차역,나레이션,루나는 손을 휘저어 작은 차원 문을 연다.,,차원 문 열리는 소리,,
"3/1,0 엔딩",기차역,나레이션,"정중히 인사를 남긴 루나가 차원 문 너머로 사라지고,",,,,
"3/1,0 엔딩",기차역,나레이션,문이 닫히자 그와 동시에,,,,
"3/1,0 엔딩",기차역,나레이션,솔이 지내온 기차와 아름다운 역사가 ,,,,
"3/1,0 엔딩",기차역,솔,…,,,놀람,
"3/1,0 엔딩",기차역,나레이션,흔적도 없이 사라진다.,,,,
"3/1,0 엔딩",기차역,솔,…,,,슬픔,
"3/1,0 엔딩",기차역,솔,이건…,,,슬픔,
"3/1,0 엔딩",기차역,나레이션,솔은 멍하니 허공을 응시한다.,,,,
"3/1,0 엔딩",기차역,솔,…,,,슬픔,
"3/1,0 엔딩",기차역,나레이션,해가 지자 솔은 걸음을 옮겨 자신이 원래 있던 작은 카페로 향한다.,,,,
"3/1,0 엔딩",암전,,암전,,,,
"3/1,0 엔딩",기차역,나레이션,달칵,,,,
"3/1,0 엔딩",1엔딩,,(일러스트),"3/1,0 엔딩 일러스트",,,"3/1,0 엔딩 일러스트"
"3/1,0 엔딩",1엔딩,솔,…,"3/1,0 엔딩 일러스트",,슬픔,
"3/1,0 엔딩",1엔딩,나레이션,돌아왔다.,"3/1,0 엔딩 일러스트",,,
"3/1,0 엔딩",1엔딩,나레이션,결국,"3/1,0 엔딩 일러스트",,,
"3/1,0 엔딩",1엔딩,나레이션,여기로.,"3/1,0 엔딩 일러스트",,,
"3/1,0 엔딩",1엔딩,솔,…,"3/1,0 엔딩 일러스트",,,
"3/1,0 엔딩",1엔딩,솔,모든 게…,"3/1,0 엔딩 일러스트",,,
"3/1,0 엔딩",1엔딩,솔,꿈이었을까.,"3/1,0 엔딩 일러스트",,슬픔,
"3/1,0 엔딩",1엔딩,나레이션,"솔에게 들려오는 건 싱그러운 음악 소리와 사람들의 웃음 소리가 아닌,","3/1,0 엔딩 일러스트",,,
"3/1,0 엔딩",1엔딩,나레이션,고요한 적막.,"3/1,0 엔딩 일러스트",,,
"3/1,0 엔딩",1엔딩,나레이션,그뿐이었다.,"3/1,0 엔딩 일러스트",,,
"3/1,0 엔딩",1엔딩,나레이션,그것 외에 솔에게 남은 건 ,"3/1,0 엔딩 일러스트",,,
"3/1,0 엔딩",1엔딩,나레이션,아무것도 없었다.,"3/1,0 엔딩 일러스트",,,
"3/1,0 엔딩",,,"3/1,0 엔딩 끝",,,,